# PUBG recoil patterns_db - generated by bake_pubg_patterns.py
# Format: #KEY weapon|muzzle|lower|stock / #RPM n / dx,dy lines / #END

#KEY P18C|bare|bare|bare
#RPM 750
-0.13,12.96
1.74,8.26
0.0,8.68
0.2,11.53
2.35,14.19
2.75,14.29
3.27,17.14
1.12,17.56
5.21,16.73
2.85,16.64
1.64,16.02
-2.04,19.39
-1.94,19.6
0.81,20.1
-4.49,22.56
-4.59,18.57
2.76,21.64
-3.17,19.7
-2.35,23.06
0.82,23.88
-0.61,22.46
-1.02,23.67
1.94,23.784
0.0,25.719
#END

#KEY P18C|bare|laser|bare
#RPM 750
0.0,13.7
0.0,8.14
-1.99,9.53
1.99,11.71
0.2,13.1
-2.782,13.3
0.792,16.08
-2.578,16.87
-1.39,17.27
-1.786,19.06
1.389,18.26
0.199,19.85
0.595,18.46
2.184,18.86
-2.382,24.41
-2.184,20.45
-2.779,20.04
-4.367,19.85
-4.565,21.44
-2.184,22.23
-4.565,22.43
2.779,24.619
2.977,22.033
4.566,22.828
#END

#KEY P1911|bare|bare|bare
#RPM 600
-2.848,10.5
0.534,16.73
-1.601,20.82
3.203,17.97
-0.89,21.71
-3.203,20.11
-0.178,23.32
-4.627,21.53
2.135,21.36
-1.779,24.913
-4.449,24.56
#END

#KEY P1911|bare|laser|bare
#RPM 600
-3.125,19.2
0.447,12.28
-1.563,18.08
-4.018,17.63
1.563,20.76
1.339,22.55
-5.134,19.42
-4.464,21.42
-3.126,22.996
-2.232,24.554
4.688,23.215
#END

#KEY P92|bare|bare|bare
#RPM 600
-6.082,25.44
1.106,17.7
-2.903,20.32
2.211,20.46
-1.52,25.43
-2.903,20.19
3.456,25.71
-3.042,21.01
2.903,28.76
1.798,18.38
-1.798,20.19
2.489,23.77
-1.244,29.45
1.106,15.21
3.594,34.97
-3.733,16.45
0.139,28.894
-0.692,23.777
-2.764,26.957
#END

#KEY P92|bare|laser|bare
#RPM 600
-4.221,29.91
-1.285,11.93
0.551,28.44
-3.12,16.52
0.367,19.64
0.183,21.83
-1.651,21.66
0.0,17.62
1.651,23.67
4.588,22.39
-2.202,25.88
-4.037,20.73
-1.101,25.15
-1.836,26.06
3.12,26.06
-0.367,24.59
-0.183,24.96
-1.468,24.22
-2.937,17.62
#END

#KEY R1895|bare|bare|bare
#RPM 600
6.204,10.58
3.356,7.42
-8.136,24.2
0.305,27.767
4.983,19.322
-2.339,18.509
#END

#KEY R45|bare|bare|bare
#RPM 600
-0.76,20.51
-1.519,12.53
3.671,21.9
-0.127,17.6
1.899,23.42
#END

#KEY R45|bare|laser|bare
#RPM 600
-1.508,20.88
0.58,14.04
0.696,17.63
2.088,21.92
-2.204,26.447
#END

